paper_id,title,authors,year,venue,solution_name,query
hu,GDA: Generative Data Augmentation Techniques for Relation Extraction Tasks,Hu X.; Liu A.; Tan Z.; Zhang X.; Zhang C.; King I.; Yu P.S.,2023.0,Proceedings of the Annual Meeting of the Association for Computational Linguistics,GDA,q1
hu2,SelfLRE: Self-refining Representation Learning for Low-resource Relation Extraction,Hu X.; Chen J.; Meng S.; Wen L.; Yu P.S.,2023.0,SIGIR 2023 - Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval,SelfLRE,q1
hu3,Gradient Imitation Reinforcement Learning for Low Resource Relation Extraction,Hu X.; Zhang C.; Yang Y.; Li X.; Lin L.; Wen L.; Yu P.S.,2021.0,"EMNLP 2021 - 2021 Conference on Empirical Methods in Natural Language Processing, Proceedings",GradLRE,q1
li2,CoPrompt: A Contrast-prompt Tuning Method for Multiparty Dialogue Character Relationship Extraction,Li Y.; Jiang Y.; Chen J.; Wang L.; Tao Y.; Zhang Y.,2023.0,ACM International Conference Proceeding Series,CoPrompt,q1
liu,Aspect sentiment triplet extraction based on data augmentation and task feedback,Liu S.; Lu T.; Li K.; Liu W.,2024.0,Journal of Intelligent Information Systems,BMRC with Data Augmentation and Task Feedback,q17
liu2,RexUIE: A Recursive Method with Explicit Schema Instructor for Universal Information Extraction,Liu C.; Zhao F.; Kang Y.; Zhang J.; Zhou X.; Sun C.; Kuang K.; Wu F.,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,RexUIE,q1
liu_2,Domain-aware and Co-adaptive Feature Transformation for Domain Adaption Few-shot Relation Extraction,Liu Y.; Dai F.; Gu X.; Zhai M.; Li B.; Zhang M.,2024.0,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings","DCFT (Domain-aware and Co-adaptive Feature Transformation)
",q2
lu,Summarization as Indirect Supervision for Relation Extraction,Lu K.; Hsu I.-H.; Zhou W.; Ma M.D.; Chen M.,2022.0,Findings of the Association for Computational Linguistics: EMNLP 2022,SURE,q1
lu2,Reasoning Makes Good Annotators: An Automatic Task-specific Rules Distilling Framework for Low-resource Relation Extraction,Lu Y.; Shi H.; Li J.; Chen T.; Wang X.; Tang S.,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,ARIA,q1
ly,DSP: Discriminative Soft Prompts for Zero-Shot Entity and Relation Extraction,Lv B.; Liu X.; Dai S.; Liu N.; Yang F.; Luo P.; Yu Y.,2023.0,Proceedings of the Annual Meeting of the Association for Computational Linguistics,DSP (Discriminative Soft Prompts),q1
ma,Making Pre-trained Language Models Better Continual Few-Shot Relation Extractors,Ma S.; Han J.; Liang Y.; Cheng B.,2024.0,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings","Contrastive Prompt Learning (CPL)
",q1
miao,Generating Commonsense Counterfactuals for Stable Relation Extraction,Miao X.; Li Y.; Qian T.,2023.0,"EMNLP 2023 - 2023 Conference on Empirical Methods in Natural Language Processing, Proceedings",CCG (Commonsense Counterfactual Generation),q1
moscato,Multi-task learning for few-shot biomedical relation extraction,Moscato V.; Napolano G.; Postiglione M.; Sperl√¨ G.,2023.0,Artificial Intelligence Review,Multi‑task learning framework with knowledge distillation for few‑shot biomedical relation extraction,q1
plum,Guided Distant Supervision for Multilingual Relation Extraction Data: Adapting to a New Language,Plum A.; Ranasinghe T.; Purschke C.,2024.0,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings",Guided Distant Supervision (GDS) for Multilingual Relation Extraction,q1
qin,ERICA: Improving entity and relation understanding for pre-trained language models via contrastive learning,Qin Y.; Lin Y.; Takanobu R.; Liu Z.; Li P.; Ji H.; Huang M.; Sun M.; Zhou J.,2021.0,"ACL-IJCNLP 2021 - 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing, Proceedings of the Conference",ERICA,q1
rocktaschel,Injecting logical background knowledge into embeddings for relation extraction,Rockt√§schel T.; Singh S.; Riedel S.,2015.0,"NAACL HLT 2015 - 2015 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Conference",Low-Rank Logic Embeddings,q4
shi,AgentRE: An Agent-Based Framework for Navigating Complex Information Landscapes in Relation Extraction,Shi Y.; Jiang G.; Qiu T.; Yang D.,2024.0,"International Conference on Information and Knowledge Management, Proceedings",AgentRE,q1
wang4,fmLRE: A Low-Resource Relation Extraction Model Based on Feature Mapping Similarity Calculation,Wang P.; Shao T.; Ji K.; Li G.; Ke W.,2023.0,"Proceedings of the 37th AAAI Conference on Artificial Intelligence, AAAI 2023",fmLRE,q1
xu,Question answering on freebase via relation extraction and textual evidence,Xu K.; Reddy S.; Feng Y.; Huang S.; Zhao D.,2016.0,"54th Annual Meeting of the Association for Computational Linguistics, ACL 2016 - Long Papers",Structured + Unstructured QA Pipeline,q2
xu2,Can NLI Provide Proper Indirect Supervision for Low-resource Biomedical Relation Extraction?,Xu J.; Ma M.D.; Chen M.,2023.0,Proceedings of the Annual Meeting of the Association for Computational Linguistics,NBR,q1
xu5,S2ynRE: Two-stage Self-training with Synthetic data for Low-resource Relation Extraction,Xu B.; Wang Q.; Lyu Y.; Dai D.; Zhang Y.; Mao Z.,2023.0,Proceedings of the Annual Meeting of the Association for Computational Linguistics,S2ynRE,q1
xu_1,Towards Realistic Low-resource Relation Extraction: A Benchmark with Empirical Baseline Study,Xu X.; Chen X.; Zhang N.; Xie X.; Chen X.; Chen H.,2022.0,Findings of the Association for Computational Linguistics: EMNLP 2022,LREBench (Low-resource Relation Extraction Benchmark),q1
yu,Reliable Data Generation and Selection for Low-Resource Relation Extraction,Yu J.; Wang X.; Chen W.,2024.0,Proceedings of the AAAI Conference on Artificial Intelligence,Self-RDGS (Self-supervised Reliable Data Generation and Selection),q1
yuan,Biomedical Relation Extraction via Domain Knowledge and Prompt Learning,Yuan J.; Du W.; Liu X.; Zhang Y.,2024.0,CEUR Workshop Proceedings,Domain Knowledge and Prompt Learning (DK-PLRE),q3
zhang,Relation Adversarial Network for Low Resource Knowledge Graph Completion,Zhang N.; Deng S.; Sun Z.; Chen J.; Zhang W.; Chen H.,2020.0,"The Web Conference 2020 - Proceedings of the World Wide Web Conference, WWW 2020",Weighted Relation Adversarial Network (wRAN),q1
zhang2,A prompt tuning method based on relation graphs for few-shot relation extraction,Zhang Z.; Yang Y.; Chen B.,2025.0,Neural Networks,Prompt-tuning with Global and Local Relation Graphs,q1
zhang3,Co-Training with Validation: A Generic Framework for Semi-Supervised Relation Extraction,Zhang S.; Lu X.; Wu J.,2022.0,"International Conference on Information and Knowledge Management, Proceedings",Co-Training with Validation (CTV),q1
zhang4,Prompt Tuning for Few-shot Relation Extraction via Modeling Global and Local Graphs,Zhang Z.; Yang Y.; Chen B.,2024.0,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings",Prompt-tuning with Global and Local Relation Graphs,q1
zhao2,An Exploration of Prompt-Based Zero-Shot Relation Extraction Method,Zhao J.; Hu Y.; Xu N.; Gui T.; Zhang Q.; Chen Y.; Gao X.,2022.0,"21st Chinese National Conference on Computational Linguistic, CCL 2022",Prompt-based Zero-Shot RE via Semantic Matching,q1
zheng,Making LLMs as Fine-Grained Relation Extraction Data Augmentor,Zheng Y.; Ke W.; Liu Q.; Yang Y.; Zhao R.; Feng D.; Zhang J.; Fang Z.,2024.0,IJCAI International Joint Conference on Artificial Intelligence,ConsistRE,q1
zhou2,Continual Contrastive Finetuning Improves Low-Resource Relation Extraction,Zhou W.; Zhang S.; Naumann T.; Chen M.; Poon H.,2023.0,Proceedings of the Annual Meeting of the Association for Computational Linguistics,"Continual Contrastive Finetuning with Multi-Center Contrastive Loss (MCCL)
",q1
